Week;VOLUME_OF_SALES;ACTUAL_PRICE;COMPETITOR1_PRICE;COMPETITOR2_PRICE;COMPETITOR3_PRICE;COMPETITOR4_PRICE;COMPETITOR5_PRICE;COMPETITOR6_PRICE;COMPETITOR7_PRICE;TYPE_OF_PROMOTION
1;103188;1.011;0.674;0;0;0;0;0;0;
2;93420;1.003;0.715;0;0;0;0;0;0;
3;78636;0.99;0.707;0;0;0;0;0;0;
4;36840;0.955;0.703;0;0;0;0;0;0;
5;74880;1.072;0.711;0;0;0;0;0;0;
6;175800;0.784;0.667;0;0;0;0;0;0;A
7;170928;0.758;0.622;0;0;0;0;0;0;A
8;84936;0.879;0.673;0;0;0;0;0;0;A
9;74808;0.94;0.701;0;0;0;0;0;0;
10;96288;0.959;0.667;0;0;0;0;0;0;
11;88560;1.005;0.68;0;0;0;0;0;0;
12;157452;0.867;0.64;0;0;0;0;0;0;B
13;98700;0.905;0.655;0;0;0;0;0;0;B
14;73908;0.938;0.648;0;0;0.618;0.878;0;0;B
15;64164;0.95;0.681;0;0;0.595;0.826;0;0;
16;68460;0.977;0.644;0;0;0.59;0.774;0;0;
17;58980;1.024;0.699;0;0;0.4;0.677;0;0;
18;147696;0.856;0.631;0;0;0.477;0.737;0;0;B
19;80676;0.98;0.678;0;0;0.574;0.771;0;0;B
20;56640;1.117;0.721;0;0;0.564;0.715;0;0;
21;65208;1.042;0.696;0;0;0.579;0.792;0;0;
22;71928;1.06;0.659;0;0;0.56;0.77;0;0;
23;77304;1.093;0.692;0;0;0.419;0.824;0;0;
24;142752;0.891;0.637;0;0;0.539;0.899;0;0;B
25;93036;0.897;0.668;0;0;0.58;0.816;0;0;B
26;63816;1.109;0.696;0;0;0.618;0.763;0;0;
27;61788;1.113;0.677;0;0;0.591;0.801;0;0;
28;70752;1.088;0.681;0;0;0.532;0.801;0;0;C
29;65676;1.082;0.699;0;0;0.506;0.781;0;0;C
30;137772;0.937;0.649;0;0;0.455;0.746;0;0;C
31;96468;0.928;0.642;0;0;0.543;0.766;0;0;C
32;62208;1.166;0.679;0;0;0.558;0.753;0;0;
33;53460;1.184;0.705;0;0;0.466;0.753;0;0;
34;140148;0.893;0.642;0;0;0.469;0.711;0;0;C
35;72180;0.944;0.623;0;0;0.422;0.638;0;0;C
36;52860;1.126;0.718;0;0;0.255;0;0;0;C
37;54888;1.054;0.704;0;0;0;0;0;0;
38;50232;1.152;0.686;0;0;0;0;0;0;
39;130536;0.826;0.657;0;0;0;0;0;0;C
40;70104;0.853;0.664;0;0;0;0;0;0;C
41;54780;1.09;0.729;0;0;0;0;0;0;
42;47808;1.141;0.726;0;0;0;0;0;0;
43;51852;1.113;0.68;0;0;0;0;0;0;
44;51360;1.138;0.715;0;0;0;0;0;0;
45;135828;0.868;0.668;0;0;0;0;0;0;C
46;60540;0.974;0.682;0;0;0;0;0;0;C
47;107772;0.877;0.539;0;0;0;0;0;0;C
48;64740;1.035;0.698;0;0;0;0;0;0;C
49;45924;1.139;0.665;0;0;0;0;0;0;
50;51132;1.1;0.672;0;0;0;0;0;0;
51;60144;1.175;0.702;0;0;0;0;0;0;
52;57300;1.065;0.683;0;0;0;0;0;0;
53;76728;0.959;0.649;0;0;0;0;0;0;
54;62268;1.109;0.752;0;0;0;0;0;0;
55;60816;1.124;0.727;0;0;0;0;0;0;
56;61272;1.139;0.694;0;0;0;0;0;0;
57;66060;1.167;0.697;0;0;0;0;0;0;D
58;147216;0.885;0.69;0;0;0;0;0;0;D
59;84660;0.921;0.702;0;0;0;0;0;0;D
60;68460;1.111;0.741;0;0;0;0;0;0;D
61;48732;1.138;0.736;0;0;0;0;0;0;
62;50052;1.101;0.704;0;0;0;0;0;0;
63;63720;1.088;0.72;0;0;0;0;0;0;
64;53196;1.093;0.741;0;0;0;0;0;0;
65;117456;0.914;0.708;0;0;0;0;0;0;C
66;76944;0.929;0.679;0;0;0;0.903;0;0;C
67;48648;1.096;0.715;0;0;0;0.79;0;0;C
68;53748;1.154;0.695;0.721;0;0.606;0.901;0;0;
69;152772;0.882;0.647;0.521;0;0.579;0.761;0;0;B
70;66576;1.011;0.654;0.578;0;0.537;0.691;0;0;B
71;63336;1.182;0.739;0.512;0;0.52;0.705;0;0;B
72;65040;1.131;0.719;0.62;0;0.588;0.804;0;0;
73;165528;0.843;0.588;0.502;0;0.578;0.746;0;0;A
74;68976;0.932;0.643;0.548;0;0.56;0.766;0;0;A
75;48960;1.04;0.659;0.664;0;0.531;0.854;0;0;A
76;67224;1.005;0.615;0.602;0;0.52;0.808;0;0;
77;57708;1.008;0.65;0.547;0;0.5;0.729;0;0;
78;55392;1.056;0.657;0.608;0;0.558;0.739;0;0;
79;62100;1.048;0.649;0.673;0;0.548;0.859;0;0;C
80;116160;0.857;0.644;0.643;0;0.545;0.851;0;0;C
81;75096;0.905;0.595;0.574;0;0.549;0.716;0;0;C
82;123408;0.807;0.635;0.569;0;0.545;0.775;0;0;C
83;74544;0.914;0.619;0.556;0;0.531;0.73;0;0;
84;59820;1.087;0.685;0.627;0;0.568;0.812;0;0;
85;169380;0.806;0.681;0.559;0;0.561;0.75;0;0;C
86;64704;0.952;0.645;0.514;0;0.518;0.711;0;0;C
87;144768;0.862;0.669;0.455;1.254;0.497;0.65;0;0;C
88;69348;0.988;0.633;0;1.184;0.369;0.669;0;0;C
89;51816;1.098;0.707;0;1.204;0;0;0;0;
90;133080;0.895;0.621;0;1.138;0;0;0;0;D
91;73056;0.814;0.64;0;1.165;0;0;0;0;D
92;53904;0.925;0.682;0;1.192;0;0;0;0;D
93;131976;0.926;0.646;0;1.214;0;0;0;0;D
94;63696;1.005;0.612;0;1.228;0;0;0;0;D
95;128880;0.885;0.664;0;1.283;0;0;0;0;D
96;73188;0.906;0.645;0;1.281;0;0;0;0;D
97;46164;1.123;0.724;0;1.284;0;0;0;0;
98;139380;0.944;0.633;0;1.303;0;0;0;0;E
99;64368;0.957;0.631;0;1.3;0;0;0;0;E
100;39336;1.025;0.662;0;1.299;0;0;0;0;E
101;137448;0.874;0.612;0;1.28;0;0;0;0;E
102;74268;0.961;0.669;0;1.286;0;0;0;0;E
103;43848;1.154;0.671;0;1.321;0;0;0;0;
104;66768;1.129;0.732;0;1.334;0;0;0;0;
105;63900;1.072;0.688;0;1.277;0;0;0;0;
106;188064;0.938;0.644;0;1.282;0;0;0;0;A
107;73176;1.112;0.718;0;1.295;0;0;0;0;A
108;57948;1.116;0.74;0;1.266;0;0;0;0;
109;62148;1.107;0.693;0;1.292;0;0;0;0;
110;134256;1.031;0.652;0;1.198;0;0;0;0;E
111;100812;1.037;0.733;0;1.277;0;0;0;0;E
112;73572;1.222;0.74;0;1.364;0;0;0;0;E
113;74688;1.198;0.741;0;1.414;0;0;0;0;
114;185892;0.849;0.683;0;1.349;0;0;0;0;B
115;70632;0.993;0.666;0;1.309;0;0;0;0;B
116;52008;1.194;0.755;0;1.303;0;0;0;0;
117;190176;0.938;0.612;0;1.292;0;0;0;0;C
118;79548;0.981;0.644;0;1.304;0;0;0;0;C
119;57480;1.13;0.69;0.592;1.256;0.608;0.964;0;0;
120;183804;0.917;0.652;0.497;1.259;0.547;0.663;0;0.89;D
121;72300;1.011;0.693;0.588;1.252;0.479;0.719;0;0;D
122;190872;0.923;0.708;0.463;1.314;0.508;0.683;0.705;0;D
123;79680;1.056;0.698;0.621;1.253;0.558;0.84;0;0;
124;60624;1.131;0.668;0.498;1.253;0.442;0.651;0.601;0.791;
125;160716;0.94;0.659;0.59;1.241;0.464;0.749;0.568;0.682;D
126;81216;0.97;0.697;0.661;1.208;0.513;0.712;0.574;0.761;D
127;54396;1.14;0.628;0.6;1.21;0.536;0.695;0.615;0.716;
128;189192;0.874;0.644;0.583;1.232;0.514;0.658;0.553;0.656;B
129;68436;1.026;0.668;0.583;1.293;0.494;0.735;0.563;0.667;B
130;176052;0.931;0.601;0.604;1.255;0.496;0.771;0.574;0.757;A
131;70824;0.998;0.654;0.635;1.231;0.559;0.763;0.553;0.753;A
132;47760;1.042;0.622;0.607;1.197;0.459;0.713;0.591;0.77;
133;188256;0.825;0.629;0.595;1.163;0.508;0.702;0.589;0.664;C
134;82008;0.903;0.624;0.614;1.175;0.475;0.721;0.569;0.717;C
135;56304;1.091;0.68;0.645;1.158;0.502;0.759;0.609;0.748;
136;164352;0.855;0.709;0.64;1.15;0.548;0.782;0.589;0.759;A
137;219624;0.786;0.618;0.595;1.157;0.544;0.803;0.573;0.738;A
138;73788;0.856;0.623;0.558;1.179;0.472;0.717;0.606;0.721;A
139;55728;1.03;0.726;0.622;1.228;0.5;0.768;0.592;0.725;
140;179784;0.883;0.62;0.58;1.186;0.514;0.694;0.597;0.797;C
141;80772;0.91;0.638;0.471;1.21;0.42;0.479;0.589;0.812;C
142;170808;0.872;0.592;0;1.186;0;0;0.585;0.797;C
143;78408;0.901;0.643;0;1.176;0;0;0.575;0.667;
144;169092;0.843;0.628;0;1.222;0;0;0.563;0.738;D
145;78192;0.914;0.614;0;1.182;0;0;0.569;0.655;D
146;149748;0.98;0.637;0;1.205;0;0;0.585;0.656;
