"Week";"VOLUME_OF_SALES";"ACTUAL_PRICE";"COMPETITOR1_PRICE";"COMPETITOR2_PRICE";"COMPETITOR3_PRICE";"COMPETITOR4_PRICE";"COMPETITOR5_PRICE";"COMPETITOR6_PRICE";"COMPETITOR7_PRICE";"TYPE_OF_PROMOTION";"inProm";"FirstWeekOfProm";"LengthOfProm";"BaseSales";"BaseSales2";"SaleUplift";"SalesYearPast";"PercSaleuplift";"BasePrice"
1;103188;1,011;0,674;0;0;0;0;0;0;"";0;0;NA;103188;103188;0;NA;0;1,011
2;93420;1,003;0,715;0;0;0;0;0;0;"";0;0;NA;93420;93420;0;NA;0;1,003
3;78636;0,99;0,707;0;0;0;0;0;0;"";0;0;NA;78636;78636;0;NA;0;0,99
4;36840;0,955;0,703;0;0;0;0;0;0;"";0;0;NA;36840;36840;0;NA;0;0,955
5;74880;1,072;0,711;0;0;0;0;0;0;"";0;0;NA;74880;74880;0;NA;0;1,072
6;175800;0,784;0,667;0;0;0;0;0;0;"A";1;1;3;63452;77392,8;98407,2;NA;1,27152913449313;1,06083333333333
7;170928;0,758;0,622;0;0;0;0;0;0;"A";1;0;NA;63452;77392,8;93535,2;NA;1,20857754209694;1,04966666666667
8;84936;0,879;0,673;0;0;0;0;0;0;"A";1;0;NA;63452;77392,8;7543,2;NA;0,0974664309858282;1,0385
9;74808;0,94;0,701;0;0;0;0;0;0;"";0;0;NA;74808;74808;0;NA;0;1,02733333333333
10;96288;0,959;0,667;0;0;0;0;0;0;"";0;0;NA;96288;96288;0;NA;0;1,01616666666667
11;88560;1,005;0,68;0;0;0;0;0;0;"";0;0;NA;88560;88560;0;NA;0;1,005
12;157452;0,867;0,64;0;0;0;0;0;0;"B";1;1;3;86552;86552;70900;NA;0,819160735742675;1,00816666666667
13;98700;0,905;0,655;0;0;0;0;0;0;"B";1;0;NA;86552;86552;12148;NA;0,140354931139662;1,01133333333333
14;73908;0,938;0,648;0;0;0,618;0,878;0;0;"B";1;0;NA;86552;86552;-12644;NA;-0,14608559016545;1,0145
15;64164;0,95;0,681;0;0;0,595;0,826;0;0;"";0;0;NA;64164;64164;0;NA;0;1,01766666666667
16;68460;0,977;0,644;0;0;0,59;0,774;0;0;"";0;0;NA;68460;68460;0;NA;0;1,02083333333333
17;58980;1,024;0,699;0;0;0,4;0,677;0;0;"";0;0;NA;58980;58980;0;NA;0;1,024
18;147696;0,856;0,631;0;0;0,477;0,737;0;0;"B";1;1;2;63720;75162,8571428571;72533,1428571429;NA;0,965013114380203;1,055
19;80676;0,98;0,678;0;0;0,574;0,771;0;0;"B";1;0;NA;63720;75162,8571428571;5513,14285714286;NA;0,0733492986657542;1,086
20;56640;1,117;0,721;0;0;0,564;0,715;0;0;"";0;0;NA;56640;56640;0;NA;0;1,117
21;65208;1,042;0,696;0;0;0,579;0,792;0;0;"";0;0;NA;65208;65208;0;NA;0;1,109
22;71928;1,06;0,659;0;0;0,56;0,77;0;0;"";0;0;NA;71928;71928;0;NA;0;1,101
23;77304;1,093;0,692;0;0;0,419;0,824;0;0;"";0;0;NA;77304;77304;0;NA;0;1,093
24;142752;0,891;0,637;0;0;0,539;0,899;0;0;"B";1;1;2;74616;68905,5;73846,5;NA;1,07170690293228;1,098
25;93036;0,897;0,668;0;0;0,58;0,816;0;0;"B";1;0;NA;74616;68905,5;24130,5;NA;0,350197008947036;1,103
26;63816;1,109;0,696;0;0;0,618;0,763;0;0;"";0;0;NA;63816;63816;0;NA;0;1,108
27;61788;1,113;0,677;0;0;0,591;0,801;0;0;"";0;0;NA;61788;61788;0;NA;0;1,113
28;70752;1,088;0,681;0;0;0,532;0,801;0;0;"C";1;1;4;41868;65365,3333333333;5386,66666666666;NA;0,0824086161879896;1,12483333333333
29;65676;1,082;0,699;0;0;0,506;0,781;0;0;"C";1;0;NA;41868;65365,3333333333;310,666666666664;NA;0,00475277415143593;1,13666666666667
30;137772;0,937;0,649;0;0;0,455;0,746;0;0;"C";1;0;NA;41868;65365,3333333333;72406,6666666667;NA;1,10772274804178;1,1485
31;96468;0,928;0,642;0;0;0,543;0,766;0;0;"C";1;0;NA;41868;65365,3333333333;31102,6666666667;NA;0,475828165796345;1,16033333333333
32;62208;1,166;0,679;0;0;0,558;0,753;0;0;"";0;0;NA;62208;62208;0;NA;0;1,17216666666667
33;53460;1,184;0,705;0;0;0,466;0,753;0;0;"";0;0;NA;53460;53460;0;NA;0;1,184
34;140148;0,893;0,642;0;0;0,469;0,711;0;0;"C";1;1;3;38556;65101,7142857143;75046,2857142857;NA;1,1527543711818;1,1776
35;72180;0,944;0,623;0;0;0,422;0,638;0;0;"C";1;0;NA;38556;65101,7142857143;7078,28571428572;NA;0,108726564145776;1,1712
36;52860;1,126;0,718;0;0;0,255;0;0;0;"C";1;0;NA;38556;65101,7142857143;-12241,7142857143;NA;-0,18803981461976;1,1648
37;54888;1,054;0,704;0;0;0;0;0;0;"";0;0;NA;54888;54888;0;NA;0;1,1584
38;50232;1,152;0,686;0;0;0;0;0;0;"";0;0;NA;50232;50232;0;NA;0;1,152
39;130536;0,826;0,657;0;0;0;0;0;0;"C";1;1;2;52560;57732;72804;NA;1,26106838495115;1,14925
40;70104;0,853;0,664;0;0;0;0;0;0;"C";1;0;NA;52560;57732;12372;NA;0,214300561213885;1,1465
41;54780;1,09;0,729;0;0;0;0;0;0;"";0;0;NA;54780;54780;0;NA;0;1,14375
42;47808;1,141;0,726;0;0;0;0;0;0;"";0;0;NA;47808;47808;0;NA;0;1,141
43;51852;1,113;0,68;0;0;0;0;0;0;"";0;0;NA;51852;51852;0;NA;0;1,1395
44;51360;1,138;0,715;0;0;0;0;0;0;"";0;0;NA;51360;51360;0;NA;0;1,138
45;135828;0,868;0,668;0;0;0;0;0;0;"C";1;1;4;51450;53323,5;82504,5;NA;1,54724464823202;1,14328571428571
46;60540;0,974;0,682;0;0;0;0;0;0;"C";1;0;NA;51450;53323,5;7216,5;NA;0,13533432726659;1,14857142857143
47;107772;0,877;0,539;0;0;0;0;0;0;"C";1;0;NA;51450;53323,5;54448,5;NA;1,02109763987735;1,15385714285714
48;64740;1,035;0,698;0;0;0;0;0;0;"C";1;0;NA;51450;53323,5;11416,5;NA;0,214098849475372;1,15914285714286
49;45924;1,139;0,665;0;0;0;0;0;0;"";0;0;NA;45924;45924;0;NA;0;1,16442857142857
50;51132;1,1;0,672;0;0;0;0;0;0;"";0;0;NA;51132;51132;0;NA;0;1,16971428571429
51;60144;1,175;0,702;0;0;0;0;0;0;"";0;0;NA;60144;60144;0;NA;0;1,175
52;57300;1,065;0,683;0;0;0;0;0;0;"";0;0;NA;57300;57300;0;NA;0;1,17366666666667
53;76728;0,959;0,649;0;0;0;0;0;0;"";0;0;NA;76728;76728;0;103188;0;1,17233333333333
54;62268;1,109;0,752;0;0;0;0;0;0;"";0;0;NA;62268;62268;0;93420;0;1,171
55;60816;1,124;0,727;0;0;0;0;0;0;"";0;0;NA;60816;60816;0;78636;0;1,16966666666667
56;61272;1,139;0,694;0;0;0;0;0;0;"";0;0;NA;61272;61272;0;36840;0;1,16833333333333
57;66060;1,167;0,697;0;0;0;0;0;0;"D";1;1;4;65271;58549,3333333333;7510,66666666666;74880;0,128279285844416;1,167
58;147216;0,885;0,69;0;0;0;0;0;0;"D";1;0;NA;65271;58549,3333333333;88666,6666666667;175800;1,51439242120605;1,15975
59;84660;0,921;0,702;0;0;0;0;0;0;"D";1;0;NA;65271;58549,3333333333;26110,6666666667;170928;0,445960102022226;1,1525
60;68460;1,111;0,741;0;0;0;0;0;0;"D";1;0;NA;65271;58549,3333333333;9910,66666666666;84936;0,169270358899617;1,14525
61;48732;1,138;0,736;0;0;0;0;0;0;"";0;0;NA;48732;48732;0;74808;0;1,138
62;50052;1,101;0,704;0;0;0;0;0;0;"";0;0;NA;50052;50052;0;96288;0;1,101
63;63720;1,088;0,72;0;0;0;0;0;0;"";0;0;NA;63720;63720;0;88560;0;1,097
64;53196;1,093;0,741;0;0;0;0;0;0;"";0;0;NA;53196;53196;0;157452;0;1,093
65;117456;0,914;0,708;0;0;0;0;0;0;"C";1;1;3;55656;59342,6666666667;58113,3333333333;98700;0,979284157548251;1,10825
66;76944;0,929;0,679;0;0;0;0,903;0;0;"C";1;0;NA;55656;59342,6666666667;17601,3333333333;73908;0,296605028422495;1,1235
67;48648;1,096;0,715;0;0;0;0,79;0;0;"C";1;0;NA;55656;59342,6666666667;-10694,6666666667;64164;-0,180218841979913;1,13875
68;53748;1,154;0,695;0,721;0;0,606;0,901;0;0;"";0;0;NA;53748;53748;0;68460;0;1,154
69;152772;0,882;0,647;0,521;0;0,579;0,761;0;0;"B";1;1;3;26874;55120;97652;58980;1,77162554426705;1,16333333333333
70;66576;1,011;0,654;0,578;0;0,537;0,691;0;0;"B";1;0;NA;26874;55120;11456;147696;0,207837445573295;1,17266666666667
71;63336;1,182;0,739;0,512;0;0,52;0,705;0;0;"B";1;0;NA;26874;55120;8216;80676;0,149056603773585;1,182
72;65040;1,131;0,719;0,62;0;0,588;0,804;0;0;"";0;0;NA;65040;65040;0;56640;0;1,131
73;165528;0,843;0,588;0,502;0;0,578;0,746;0;0;"A";1;1;3;32520;55748;109780;65208;1,96921862667719;1,1185
74;68976;0,932;0,643;0,548;0;0,56;0,766;0;0;"A";1;0;NA;32520;55748;13228;71928;0,237282054961613;1,106
75;48960;1,04;0,659;0,664;0;0,531;0,854;0;0;"A";1;0;NA;32520;55748;-6788;77304;-0,121762215684868;1,0935
76;67224;1,005;0,615;0,602;0;0,52;0,808;0;0;"";0;0;NA;67224;67224;0;142752;0;1,081
77;57708;1,008;0,65;0,547;0;0,5;0,729;0;0;"";0;0;NA;57708;57708;0;93036;0;1,0685
78;55392;1,056;0,657;0,608;0;0,558;0,739;0;0;"";0;0;NA;55392;55392;0;63816;0;1,056
79;62100;1,048;0,649;0,673;0;0,548;0,859;0;0;"C";1;1;4;45081;59822,4;2277,6;61788;0,0380726951777259;1,06116666666667
80;116160;0,857;0,644;0,643;0;0,545;0,851;0;0;"C";1;0;NA;45081;59822,4;56337,6;70752;0,941747572815534;1,06633333333333
81;75096;0,905;0,595;0,574;0;0,549;0,716;0;0;"C";1;0;NA;45081;59822,4;15273,6;65676;0,25531573457434;1,0715
82;123408;0,807;0,635;0,569;0;0,545;0,775;0;0;"C";1;0;NA;45081;59822,4;63585,6;137772;1,06290620235898;1,07666666666667
83;74544;0,914;0,619;0,556;0;0,531;0,73;0;0;"";0;0;NA;74544;74544;0;96468;0;1,08183333333333
84;59820;1,087;0,685;0,627;0;0,568;0,812;0;0;"";0;0;NA;59820;59820;0;62208;0;1,087
85;169380;0,806;0,681;0,559;0;0,561;0,75;0;0;"C";1;1;4;44788;63288;106092;53460;1,67633674630262;1,0892
86;64704;0,952;0,645;0,514;0;0,518;0,711;0;0;"C";1;0;NA;44788;63288;1416;140148;0,0223739097459235;1,0914
87;144768;0,862;0,669;0,455;1,254;0,497;0,65;0;0;"C";1;0;NA;44788;63288;81480;72180;1,28744785741373;1,0936
88;69348;0,988;0,633;0;1,184;0,369;0,669;0;0;"C";1;0;NA;44788;63288;6060;52860;0,095752749336367;1,0958
89;51816;1,098;0,707;0;1,204;0;0;0;0;"";0;0;NA;51816;51816;0;54888;0;1,098
90;133080;0,895;0,621;0;1,138;0;0;0;0;"D";1;1;7;46545;59856;73224;50232;1,2233360064154;1,101125
91;73056;0,814;0,64;0;1,165;0;0;0;0;"D";1;0;NA;46545;59856;13200;130536;0,220529270248597;1,10425
92;53904;0,925;0,682;0;1,192;0;0;0;0;"D";1;0;NA;46545;59856;-5952;70104;-0,09943865276664;1,107375
93;131976;0,926;0,646;0;1,214;0;0;0;0;"D";1;0;NA;46545;59856;72120;54780;1,20489174017642;1,1105
94;63696;1,005;0,612;0;1,228;0;0;0;0;"D";1;0;NA;46545;59856;3840;47808;0,0641539695268645;1,113625
95;128880;0,885;0,664;0;1,283;0;0;0;0;"D";1;0;NA;46545;59856;69024;51852;1,15316760224539;1,11675
96;73188;0,906;0,645;0;1,281;0;0;0;0;"D";1;0;NA;46545;59856;13332;51360;0,222734562951083;1,119875
97;46164;1,123;0,724;0;1,284;0;0;0;0;"";0;0;NA;46164;46164;0;135828;0;1,123
98;139380;0,944;0,633;0;1,303;0;0;0;0;"E";1;1;5;23082;48990;90390;60540;1,84507042253521;1,12816666666667
99;64368;0,957;0,631;0;1,3;0;0;0;0;"E";1;0;NA;23082;48990;15378;107772;0,313900796080833;1,13333333333333
100;39336;1,025;0,662;0;1,299;0;0;0;0;"E";1;0;NA;23082;48990;-9654;64740;-0,197060624617269;1,1385
101;137448;0,874;0,612;0;1,28;0;0;0;0;"E";1;0;NA;23082;48990;88458;45924;1,8056338028169;1,14366666666667
102;74268;0,961;0,669;0;1,286;0;0;0;0;"E";1;0;NA;23082;48990;25278;51132;0,515982853643601;1,14883333333333
103;43848;1,154;0,671;0;1,321;0;0;0;0;"";0;0;NA;43848;43848;0;60144;0;1,154
104;66768;1,129;0,732;0;1,334;0;0;0;0;"";0;0;NA;66768;66768;0;57300;0;1,129
105;63900;1,072;0,688;0;1,277;0;0;0;0;"";0;0;NA;63900;63900;0;76728;0;1,072
106;188064;0,938;0,644;0;1,282;0;0;0;0;"A";1;1;2;65334;55170;132894;62268;2,40880913539967;1,08666666666667
107;73176;1,112;0,718;0;1,295;0;0;0;0;"A";1;0;NA;65334;55170;18006;60816;0,326373028820011;1,10133333333333
108;57948;1,116;0,74;0;1,266;0;0;0;0;"";0;0;NA;57948;57948;0;61272;0;1,116
109;62148;1,107;0,693;0;1,292;0;0;0;0;"";0;0;NA;62148;62148;0;66060;0;1,107
110;134256;1,031;0,652;0;1,198;0;0;0;0;"E";1;1;3;40032;56796;77460;147216;1,36382843862244;1,14533333333333
111;100812;1,037;0,733;0;1,277;0;0;0;0;"E";1;0;NA;40032;56796;44016;84660;0,774984153813649;1,18366666666667
112;73572;1,222;0,74;0;1,364;0;0;0;0;"E";1;0;NA;40032;56796;16776;68460;0,295372913585464;1,222
113;74688;1,198;0,741;0;1,414;0;0;0;0;"";0;0;NA;74688;74688;0;48732;0;1,198
114;185892;0,849;0,683;0;1,349;0;0;0;0;"B";1;1;2;37344;61550;124342;50052;2,02017871649066;1,19666666666667
115;70632;0,993;0,666;0;1,309;0;0;0;0;"B";1;0;NA;37344;61550;9082;63720;0,147554833468725;1,19533333333333
116;52008;1,194;0,755;0;1,303;0;0;0;0;"";0;0;NA;52008;52008;0;53196;0;1,194
117;190176;0,938;0,612;0;1,292;0;0;0;0;"C";1;1;2;26004;62910;127266;117456;2,02298521697663;1,17266666666667
118;79548;0,981;0,644;0;1,304;0;0;0;0;"C";1;0;NA;26004;62910;16638;76944;0,264473056747735;1,15133333333333
119;57480;1,13;0,69;0,592;1,256;0,608;0,964;0;0;"";0;0;NA;57480;57480;0;48648;0;1,13
120;183804;0,917;0,652;0,497;1,259;0,547;0,663;0;0,89;"D";1;1;3;28740;60854,4;122949,6;53748;2,02038965136457;1,1302
121;72300;1,011;0,693;0,588;1,252;0,479;0,719;0;0;"D";1;0;NA;28740;60854,4;11445,6;152772;0,188081716359047;1,1304
122;190872;0,923;0,708;0,463;1,314;0,508;0,683;0,705;0;"D";1;0;NA;28740;60854,4;130017,6;66576;2,13653573118788;1,1306
123;79680;1,056;0,698;0,621;1,253;0,558;0,84;0;0;"";0;0;NA;79680;79680;0;63336;0;1,1308
124;60624;1,131;0,668;0,498;1,253;0,442;0,651;0,601;0,791;"";0;0;NA;60624;60624;0;65040;0;1,131
125;160716;0,94;0,659;0,59;1,241;0,464;0,749;0,568;0,682;"D";1;1;2;70152;64896;95820;165528;1,47651627218935;1,134
126;81216;0,97;0,697;0,661;1,208;0,513;0,712;0,574;0,761;"D";1;0;NA;70152;64896;16320;68976;0,251479289940828;1,137
127;54396;1,14;0,628;0,6;1,21;0,536;0,695;0,615;0,716;"";0;0;NA;54396;54396;0;48960;0;1,14
128;189192;0,874;0,644;0,583;1,232;0,514;0,658;0,553;0,656;"B";1;1;4;38340;60837,6;128354,4;67224;2,109787368338;1,1204
129;68436;1,026;0,668;0,583;1,293;0,494;0,735;0,563;0,667;"B";1;0;NA;38340;60837,6;7598,4;57708;0,124896445619157;1,1008
130;176052;0,931;0,601;0,604;1,255;0,496;0,771;0,574;0,757;"A";1;0;NA;38340;60837,6;115214,4;55392;1,89380251686457;1,0812
131;70824;0,998;0,654;0,635;1,231;0,559;0,763;0,553;0,753;"A";1;0;NA;38340;60837,6;9986,4;62100;0,164148487119808;1,0616
132;47760;1,042;0,622;0,607;1,197;0,459;0,713;0,591;0,77;"";0;0;NA;47760;47760;0;116160;0;1,042
133;188256;0,825;0,629;0,595;1,163;0,508;0,702;0,589;0,664;"C";1;1;2;23880;60615;127641;75096;2,10576589952982;1,05833333333333
134;82008;0,903;0,624;0,614;1,175;0,475;0,721;0,569;0,717;"C";1;0;NA;23880;60615;21393;123408;0,352932442464736;1,07466666666667
135;56304;1,091;0,68;0,645;1,158;0,502;0,759;0,609;0,748;"";0;0;NA;56304;56304;0;74544;0;1,091
136;164352;0,855;0,709;0,64;1,15;0,548;0,782;0,589;0,759;"A";1;1;3;28152;59752,8;104599,2;59820;1,75053219263365;1,07575
137;219624;0,786;0,618;0,595;1,157;0,544;0,803;0,573;0,738;"A";1;0;NA;28152;59752,8;159871,2;169380;2,67554323814114;1,0605
138;73788;0,856;0,623;0,558;1,179;0,472;0,717;0,606;0,721;"A";1;0;NA;28152;59752,8;14035,2;64704;0,234887737478411;1,04525
139;55728;1,03;0,726;0,622;1,228;0,5;0,768;0,592;0,725;"";0;0;NA;55728;55728;0;144768;0;1,03
140;179784;0,883;0,62;0,58;1,186;0,514;0,694;0,597;0,797;"C";1;1;3;27864;53547;126237;69348;2,35749901955292;0,97
141;80772;0,91;0,638;0,471;1,21;0,42;0,479;0,589;0,812;"C";1;0;NA;27864;53547;27225;51816;0,508431844921284;0,91
142;170808;0,872;0,592;0;1,186;0;0;0,585;0,797;"C";1;0;NA;27864;53547;117261;133080;2,18987058098493;0,9055
143;78408;0,901;0,643;0;1,176;0;0;0,575;0,667;"";0;0;NA;78408;78408;0;73056;0;0,901
144;169092;0,843;0,628;0;1,222;0;0;0,563;0,738;"D";1;1;2;39204;59550;109542;53904;1,83949622166247;0,9075
145;78192;0,914;0,614;0;1,182;0;0;0,569;0,655;"D";1;0;NA;39204;59550;18642;131976;0,313047858942066;0,914
146;149748;0,98;0,637;0;1,205;0;0;0,585;0,656;"";0;0;NA;149748;149748;0;63696;0;0,98
